timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
11.000;f_0.0;85.83;-0.04;9.46
11.000;f_1.82;-43.42;0.00;12.97
11.000;f_1.83;54.58;0.00;12.97
11.000;f_1.84;142.86;0.00;12.97
11.100;f_0.0;85.98;-0.04;9.46
11.100;f_1.82;-44.71;0.00;12.97
11.100;f_1.83;53.35;0.00;12.97
11.100;f_1.84;141.55;0.00;12.97
11.200;f_0.0;86.12;-0.04;9.46
11.200;f_1.82;-46.00;0.00;12.97
11.200;f_1.83;52.11;0.00;12.97
11.200;f_1.84;140.23;0.00;12.97
11.300;f_0.0;86.27;-0.04;9.46
11.300;f_1.82;-47.30;0.00;12.97
11.300;f_1.83;50.88;0.00;12.97
11.300;f_1.84;138.89;0.00;12.97
11.400;f_0.0;86.41;-0.04;9.46
11.400;f_1.82;-48.59;0.00;12.97
11.400;f_1.83;49.64;0.00;12.97
11.400;f_1.84;137.53;0.00;12.97
11.500;f_0.0;86.56;-0.04;9.46
11.500;f_1.82;-49.89;0.00;12.97
11.500;f_1.83;48.41;0.00;12.97
11.500;f_1.84;136.15;0.00;12.97
11.600;f_0.0;86.70;-0.04;9.46
11.600;f_1.82;-51.18;0.00;12.97
11.600;f_1.83;47.18;0.00;12.97
11.600;f_1.84;134.76;0.00;12.97
11.700;f_0.0;86.85;-0.04;9.46
11.700;f_1.82;-52.47;0.00;12.97
11.700;f_1.83;45.94;0.00;12.97
11.700;f_1.84;133.38;0.00;12.97
11.800;f_0.0;86.99;-0.04;9.46
11.800;f_1.82;-53.77;0.00;12.97
11.800;f_1.83;44.71;0.00;12.97
11.800;f_1.84;131.99;0.00;12.97
11.900;f_0.0;87.14;-0.04;9.46
11.900;f_1.82;-55.07;0.00;12.97
11.900;f_1.83;43.48;0.00;12.97
11.900;f_1.84;130.60;0.00;12.97
12.000;f_0.0;87.28;-0.04;9.46
12.000;f_1.85;184.30;0.00;12.97
12.000;f_1.82;-56.37;0.00;12.97
12.000;f_1.83;42.25;0.00;12.97
12.000;f_1.84;129.22;0.00;12.97
12.100;f_0.0;87.43;-0.04;9.46
12.100;f_1.85;184.28;0.00;12.97
12.100;f_1.82;-57.66;0.00;12.97
12.100;f_1.83;41.01;0.00;12.97
12.100;f_1.84;127.83;0.00;12.97
12.200;f_0.0;87.57;-0.04;9.46
12.200;f_1.85;184.23;0.00;12.97
12.200;f_1.82;-58.95;0.00;12.97
12.200;f_1.83;39.77;0.00;12.97
12.200;f_1.84;126.44;0.00;12.97
12.300;f_0.0;87.72;-0.04;9.46
12.300;f_1.85;184.16;0.00;12.97
12.300;f_1.82;-60.25;0.00;12.97
12.300;f_1.83;38.53;0.00;12.97
12.300;f_1.84;125.05;0.00;12.97
12.400;f_0.0;87.86;-0.04;9.46
12.400;f_1.85;184.06;0.00;12.97
12.400;f_1.82;-61.55;0.00;12.97
12.400;f_1.83;37.30;0.00;12.97
12.400;f_1.84;123.67;0.00;12.97
12.500;f_0.0;88.00;-0.04;9.46
12.500;f_1.85;183.94;0.00;12.97
12.500;f_1.82;-62.84;0.00;12.97
12.500;f_1.83;36.07;0.00;12.97
12.500;f_1.84;122.28;0.00;12.97
12.600;f_0.0;88.15;-0.04;9.46
12.600;f_1.85;183.80;0.00;12.97
12.600;f_1.82;-64.13;0.00;12.97
12.600;f_1.83;34.83;0.00;12.97
12.600;f_1.84;120.90;0.00;12.97
12.700;f_0.0;88.29;-0.04;9.46
12.700;f_1.85;183.63;0.00;12.97
12.700;f_1.82;-65.42;0.00;12.97
12.700;f_1.83;33.60;0.00;12.97
12.700;f_1.84;119.52;0.00;12.97
12.800;f_0.0;88.43;-0.04;9.46
12.800;f_1.85;183.44;0.00;12.97
12.800;f_1.82;-66.72;0.00;12.97
12.800;f_1.83;32.36;0.00;12.97
12.800;f_1.84;118.13;0.00;12.97
12.900;f_0.0;88.58;-0.04;9.46
12.900;f_1.85;183.24;0.00;12.97
12.900;f_1.82;-68.01;0.00;12.97
12.900;f_1.83;31.13;0.00;12.97
12.900;f_1.84;116.75;0.00;12.97
13.000;f_0.0;88.72;-0.04;9.45
13.000;f_1.85;183.01;0.00;12.97
13.000;f_1.82;-69.31;0.00;12.97
13.000;f_1.83;29.90;0.00;12.97
13.000;f_1.84;115.37;0.00;12.97
13.100;f_0.0;88.87;-0.04;9.45
13.100;f_1.85;182.77;0.00;12.97
13.100;f_1.82;-70.60;0.00;12.97
13.100;f_1.83;28.67;0.00;12.97
13.100;f_1.84;113.98;0.00;12.97
13.200;f_0.0;89.01;-0.04;9.45
13.200;f_1.85;182.50;0.00;12.97
